"colony_name","colony_size","colony_size_min","colony_size_max","latitude","longitude"
"Acuna Island",3079,1880,3079,-60.7612,-44.637
"Adams Island",425,76,425,-66.5459,92.5486
"Cape Adare",428516,169200,428516,-71.3063,170.1999
"Akarui Point",106,106,211,-68.4999,41.3901
"Alasheyev Bight",1080,1080,1080,-67.654,46.109
"Ambush Bay",17621,17621,17621,-63.184,-55.393
"Amphibolite Point",7660,5000,7660,-60.684,-45.339
"Anchorage Island",0,0,250,-67.6042,-68.2089
"Andresen Island Site 2",281,272,319,-66.875,-66.711
"Andresen Island Site 1",1139,1139,2200,-66.879,-66.649
"Andersen Island",5000,5000,5000,-67.4353,63.3572
"Cape Anne",522,139,557,-73.617,169.85
"Ardley Island",260,260,1331,-62.213,-58.933
"Armstrong Reef",3126,3126,10696,-65.8919,-66.2117
"Arthurson Ridge",14461,14461,14461,-69.3634,158.5109
"Auster Islands",2082,2082,2082,-67.39,63.98
"Avian Island",77515,35600,77515,-67.7732,-68.8855
"Backer Islands",465,465,465,-74.4112,-102.5515
"Balaena Islands",160,160,160,-66.0158,111.0688
"Barcroft Islands",211,211,1600,-66.4575,-67.1397
"Cape Batterbee",30746,30746,30746,-65.842,53.8129
"Beagle Island",284535,96892,284535,-63.4139,-54.6675
"Beaufort Island North",989,460,989,-76.9288,166.881
"Beaufort Island",70468,21147,70468,-76.9694,166.8978
"Bechervaise Island",2207,1485,2207,-67.5833,62.8167
"Benten",23,2,27,-69.0417,39.25
"Berkley/Cameron",13423,2928,13423,-66.2163,110.64
"Berthelot Islands (excl. Green Island)",313,313,904,-65.333,-64.112
"Cape Bienvenue",35466,10000,35466,-66.7203,140.5252
"Biscoe Point",522,522,3000,-64.8114,-63.7775
"Bolingen/Lichen Island",465,465,465,-69.456,75.7474
"Bongrain Point (Pourquoi Pas Island)",2284,700,2859,-67.7233,-67.7319
"Cape Bowles",395,60,395,-61.316,-54.091
"Brash Island",94951,94951,166078,-63.386389,-54.914167
"Brattstrand Bluff",5259,5259,5259,-69.2157,76.9995
"Cape Bird Middle",4343,1438,4912,-77.230393,166.4187
"Cape Bird North",45572,14928,50701,-77.214483,166.44589
"Cape Bird South",16764,5684,20083,-77.259444,166.379444
"Brown Bluff",18630,18630,25000,-63.5222,-56.905
"Brownson Islands",15962,15962,15962,-74.168119,-103.636074
"Buckle Island",277,277,900,-66.8908,163.2871
"Cape Burks",1209,97,1209,-74.750466,-136.829586
"Cape Barne",0,0,5,-77.578012,166.24162
"Casey Bay",95,95,95,-67.3774,48.6565
"Cape Davis",559,502,559,-66.65,163.5333
"Cape Hallett",47169,24848,66319,-72.3179,170.2142
"Chappel Island",4597,2618,5780,-66.1772,110.4193
"Charcot Island",28,28,28,-69.7617,-75.4074
"Chatos Island",135,100,135,-67.66,-69.152
"Child Rocks Islands 1",500,500,500,-67.4377,63.2749
"Child Rocks Islands 2",5000,5000,5000,-67.438,63.2824
"Child Rocks Islands 3",500,500,500,-67.4387,63.2715
"Chick Islands",475,475,475,-66.7918,120.9934
"Chinstrap Islet",3092,1999,3092,-66.925,163.311
"Christine Island",1151,1151,1460,-64.7946,-64.0236
"Christoffersen Island",420,420,420,-60.728,-45.035
"Cape Hunter",7709,7709,15997,-66.963,142.349
"Clark Island",322,322,322,-74.056,-105.193
"Coulman Middle",9278,2668,9278,-73.4372,169.8854
"Coulman North",2751,501,2751,-73.3822,169.8401
"Cockburn Island",15721,15721,15721,-64.2005,-56.8412
"Colbeck Archipelago Unnamed 1",958,958,958,-67.3436,61.0647
"Cone Island",3051,3000,3051,-67.6749,-69.1531
"Conical Island (Aviation Islands)",128,128,128,-69.2667,158.7833
"Cormorant Island",693,623,905,-64.7939,-63.9667
"Cape Cornish (NE Buckle)",401,401,533,-66.7031,163.2139
"Cormorant Point",96,96,122,-60.756,-44.732
"Cape Cotter",49198,21280,58776,-72.4045,170.3122
"Cape Crozier",280787,67114,282515,-77.46,169.32
"Cruzen Island",226,226,226,-74.7341,-140.3266
"Coulman South",24947,10760,25226,-73.5137,169.8779
"Curzon Islands",14694,12641,14694,-66.767,141.5669
"Darbel Island",324,324,650,-66.3808,-65.9003
"Darwin Island",5804,5804,7419,-63.437,-54.726
"Darboux Island",0,0,0,-65.4028,-64.215
"Davis Island",8418,8418,8730,-66.6637,108.4444
"Dee Island",0,0,0,-62.4229,-59.7836
"Cape Denison",13834,13834,13834,-67.0072,142.6647
"Descazes Island",0,0,0,-67.3119848509474,-67.4725984688419
"Detaille Island",430,430,506,-66.8708,-66.7867
"Devil Island",14681,8802,14681,-63.7992,-57.2889
"Dome Island (Aviation Islands)",161,161,161,-69.2667,158.7833
"Douglas Islands 1",50,50,50,-67.3803,63.3893
"Douglas Islands 2",500,500,500,-67.3849,63.3895
"Downshire Cliffs",35640,12492,35640,-71.5582,170.592
"Dream Island",1887,1887,10700,-64.7254,-64.2256
"Duke of York Island",8548,2307,16340,-71.6235,170.0635
"Duroch Islands",800,800,800,-63.3033,-57.8903
"d'Urville Monument",18415,10000,29170,-63.4267,-56.2944
"Duthoit Point",1,1,1,-62.307,-58.835
"Earle Island",21071,21071,23649,-63.4833,-54.7833
"Eden Rocks",45374,45374,46855,-63.4946,-55.7018
"Edmonson Point",2698,1316,3015,-74.3167,165.0666
"Edwards Islands",58058,58058,58058,-73.8701,-103.0057
"Emperor Island",700,700,700,-67.8647,-68.71
"Etna Island",226,226,226,-63.0948,-55.179
"Cape Evensen (mainland)",163,163,1200,-66.164,-65.683
"Cape Evensen (offshore rocks)",212,212,212,-66.157904,-65.720454
"Fortenberry",342,342,342,-70.7662,167.0789
"Ferrier Peninsula",35858,35858,61000,-60.715,-44.425
"Fish Islands",912,912,4000,-66.0275,-65.3611
"Fitchie Bay",0,0,3000,-60.714,-44.494
"Fizkin Island (islet northeast of Fizkin Island)",113,113,250,-65.514,-65.48
"Fliess Bay",77,77,77,-63.2045,-55.2412
"Forbes Glacier",1028,1028,2032,-67.5964,62.2858
"Franklin Island East",255,255,1944,-76.1581,168.4101
"Fram Islands",878,801,878,-66.637,139.825
"Franklin Island West",41339,41339,94338,-76.1618,168.3383
"Gerd Island",1086,1086,1086,-60.6574,-45.7437
"Gerlache Island",171,171,171,-64.601,-64.214
"Ginger Island",1336,1336,1336,-67.7494,-68.6858
"Gibbney Island",12246,12246,12246,-67.5543,62.3205
"Gourlay Point",3926,3926,6174,-60.7309,-45.5863
"Gosling Islands",9470,9470,9470,-60.6406,-45.9178
"Gourdin Island",24239,16334,24239,-63.1969,-57.3074
"Graptolite Island",16300,16300,30000,-60.7159,-44.4621
"Green Island",0,0,0,-65.3236,-64.1487
"Hannah Point",0,0,2,-62.6545,-60.6134
"Cape Hansen, Coronation Island",5980,5980,13381,-60.659,-45.584
"Haswell Island",4011,4011,4011,-66.52,93.01
"Harald Bay",21033,21033,21033,-69.1977,157.6894
"Henry Islands",58,34,58,-66.8781,120.6206
"Heroina Island",292363,276938,292363,-63.3944,-54.6083
"Cape Hinode",360,360,433,-68.1453,42.6612
"Hokuro Cove",400,277,750,-69.213,39.629
"Holdfast Point (mainland and offshore rocks)",435,435,625,-66.7917,-66.5867
"Holl/O'Connor",30514,16623,30514,-66.4118,110.4315
"Hope Bay",104139,104139,123850,-63.3972,-56.9978
"Humble Island",587,587,2560,-64.7647,-64.0875
"Ifo Island Area",839,839,839,-66.627,139.728
"Inexpressible Island",36117,18313,39468,-74.9009,163.7287
"Ivanhoff Head",6130,6130,6130,-66.8803,109.1276
"Janet Rock",1899,1899,1899,-66.5698,139.1651
"Jingle Island",592,592,592,-65.4303,-65.3253
"Cape Jones",41,20,247,-73.2762,169.2272
"Joubin Islands",1251,363,1251,-64.7744,-64.3992
"Cape Jules",56399,43259,56399,-66.7438,140.9189
"Kidson Island",1334,1000,1334,-67.2144,61.187
"King Point",28,28,28,-63.16,-55.481
"Kirby Head",4325,4325,4325,-67.2726,46.5372
"Kirton/Macklin",12955,12955,12955,-67.4907,63.6378
"Knobble Head, Bransfield Island",100,100,100,-63.1619,-56.5694
"Kuno Point",235,235,235,-66.3978,-67.1603
"Kuzira Point",0,0,7,-69.6,38.2667
"Lagotellerie Island",8314,1911,8314,-67.8869,-67.4017
"Islet next to Laktionov Island",38,38,38,-65.758531,-65.789737
"Lauff Island",0,0,1167,-73.2325,-126.7749
"Islet 1 km west of Lavosier Island",17,17,150,-66.122,-66.829
"Lewis Island",1719,1200,1719,-66.1051,134.3849
"Lions Rump",3751,3661,13580,-62.1331,-58.1229
"Litchfield Island",0,0,650,-64.7708,-64.0919
"Llano Point",3246,2102,15013,-62.176,-58.446
"Long Peninsula Island",3252,3252,6815,-68.4163,78.324
"Lovill Bluff",1540,1540,61533,-73.538,-127.4361
"Low Tongue",4455,4455,4455,-67.5456,61.9906
"Lindsay Islands",80704,80704,80704,-73.6094,-103.1829
"MacKellar Islands",80360,80360,80360,-66.967,142.65
"Madder Cliff (Joinville Island)",34022,34022,34022,-63.2989,-56.4831
"Madder Cliff Island",1000,1000,1261,-63.306,-56.499
"Maher Island",10111,4722,10111,-73.1983,-127.0503
"Mallory Point",4621,870,4621,-66.83,108.6433
"Mame-zima",621,24,621,-69.0167,39.4833
"Mandible Cirque",25122,12649,25122,-73.117,169.25
"Point Martin",26450,24600,26450,-60.7709,-44.7185
"Mawson Coast (excl. Bechervaise Island)",39691,39691,39691,-67.5563,62.9406
"Mount Biscoe",28536,5000,28536,-66.2209,51.3275
"McDonald Point",20,20,20,-67.3427,59.6654
"Meholmen Island",0,0,2,-69.0254,39.4788
"Merritt Island",532,297,532,-66.4588,107.1565
"Mount Gleadell",1576,1576,1576,-66.941,50.44
"Hollin/Midgley",6311,3311,10237,-66.3259,110.4036
"Mizukuguri Cove",1144,134,1144,-69.197,39.614
"Mount Riiser-Larsen",1562,877,1562,-66.7908,50.5511
"Myall/McMahon",686,686,686,-67.6721,45.7356
"North Cape (d'Urville Island)",75,75,75,-62.974,-56.489
"Nelly Island",1316,68,1316,-66.2294,110.1782
"Nella/Thalla Islands",477,181,477,-70.6136,166.0873
"Northeast of Smiggers Island",11,11,11,-65.451571,-65.346483
"Nokkelholmane Islands",34,34,194,-69.3811,39.4635
"North Point",6008,6008,13719,-60.672,-45.626
"Northern Foothills (Terra Nova Bay)",13408,7624,20134,-74.75,164
"Cape Nutt",1412,1412,1971,-66.6352,108.2127
"Odbert Island",9247,9247,10689,-66.3742,110.5421
"Oldham Island",3570,3570,3570,-67.5208,61.7253
"Cape Omega",0,0,562,-68.5667,40.9833
"Ongulkaven",650,43,650,-69.0171,39.4252
"Outer Island",155,155,155,-60.7069,-45.5806
"Pageant Point",220,220,379,-60.7286,-45.5843
"Pantomime Point",792,792,10250,-60.7266,-45.5833
"Patella Island",1000,1000,1000,-63.1294,-55.5238
"Paulet Island",107285,60000,117834,-63.5801,-55.7881
"Port Charcot",10,8,61,-65.067,-64.026
"Peine Island (Comb Island)",12000,3311,12000,-63.411,-54.717
"Penguin Island",231,231,3114,-62.102,-57.9269
"Penguin Point (Seymour Island)",16015,16015,26400,-64.3061,-56.7114
"Petermann Island",238,238,1080,-65.176,-64.137
"Point Geologie",42161,29182,42161,-66.67,140.01
"Cape Phillips",11235,3839,11235,-73.0714,169.6168
"Cape Pigeon Rocks",64607,64607,64607,-66.9334,143.894
"Peter I Island",2,2,2,-68.835,-90.4917
"Peterson Island",30448,5946,30448,-66.4665,110.4993
"Plato Island (Platter Island)",40803,27902,40803,-63.433,-54.6742
"Pleneau Island",1,1,1,-65.104,-64.0556
"Port Martin",37994,27243,37994,-66.8113,141.3997
"Possession Island",177097,78967,177097,-71.8946,171.1692
"Powell Island",27289,27289,27289,-60.725,-45.029
"Pink Pool Point",1811,1811,1811,-61.309,-54.079
"Proclamation Island",9277,9277,9277,-65.8424,53.6876
"Point Thomas",150,150,17905,-62.1631,-58.4615
"Rauer Islands",115034,103916,115034,-68.8331,77.6765
"Robinson",609,609,5000,-67.4543,63.4596
"Red Island",1002,1002,1002,-63.7356,-57.88
"Rhyolite Island",36,35,36,-69.6488,-68.5709
"Robinson (northwest)",111,111,111,-67.4489,63.413
"Rookery Islands",43989,43989,44800,-67.6044,62.5099
"Robinson (southeast)",800,500,800,-67.4749,63.4956
"Cape Royds",2944,1367,3986,-77.5545,166.1639
"Red Rock Ridge",3554,3554,3554,-68.2878,-67.1686
"Rumpa Island",3515,473,3515,-69.1441,39.3905
"Sabrina Island",4844,3471,4844,-66.9171,163.309
"Saxum Nunatak",150,150,150,-63.1367,-56.0533
"Scullin/Murray",54499,54499,54499,-67.7833,66.6968
"SE Fisher Bay",9,9,9,-67.5949,146.0809
"Sentry Rocks",344,119,344,-70.7543,167.4046
"SE Promontory",890,325,890,-66.65,163.05
"Sheelagh Islands",7587,7587,7587,-66.5464,50.1804
"Shepard Island",28934,28934,28934,-74.3773,-132.5519
"Sheppard Nunatak",1523,1523,1523,-63.3629,-57.0154
"Sheppard Point",3182,3182,3182,-63.3707,-56.9844
"Shingle Cove (Coronation Island)",3041,3041,3205,-60.6469,-45.5636
"Shirley/Beall",13658,12861,13658,-66.283,110.5
"Sigaren",37,13,37,-69.1693,39.4344
"Sims Island",14784,14784,14784,-73.2725,-78.5407
"Smiggers Island",453,453,453,-65.4597,-65.3514
"South of Martin Islands",477,477,495,-65.6881,-65.3381
"Spindrift Rocks",3046,1034,7021,-60.683,-45.644
"Stanton Continental Rock",3227,3227,3227,-67.5342,61.7175
"Steines Island",434,434,1176,-69.3412,76.5825
"Stene Point",0,0,1500,-60.654,-45.707
"Stranger Point",1003,777,18412,-62.26,-58.6161
"Stanton unnamed",801,801,801,-67.5078,61.5978
"Sturge Island",10,10,10,-67.467,164.633
"Sven Foyn Island",44571,19587,44571,-71.956,171.0695
"Svenner Islands",18065,18065,18065,-69.0341,76.8346
"Southwest Island (Aviation Islands)",804,804,804,-69.2666,158.7833
"Tay Head (Joinville Island)",4156,4156,17500,-63.3486,-55.5508
"Tenmondai Rock",86,86,96,-68.4445,41.701
"Thorgaut",917,917,5000,-67.4425,63.5433
"Torgersen Island",8528,8483,8750,-64.7731,-64.0741
"Torinosu Cove",45,45,220,-69.4833,39.5667
"Trundle Island",347,347,347,-65.3938,-65.2885
"Tryne Islands",13789,13789,13789,-68.3809,78.4125
"Three Sisters",472,438,6202,-62.0779,-57.9135
"Turret Point (King George Island)",153,102,246,-62.0875,-57.9514
"Ufs Island",1942,1942,2300,-67.4694,61.1406
"Unnnamed Island PE 2",40,40,40,-68.9012,77.736
"Unnnamed Island PE 3",123,123,123,-68.4419,78.211
"Unnamed Island PE 2 North",6893,6893,6893,-68.9013,77.7162
"Unger Island (Unger Rock)",305,107,305,-70.6811,166.919
"Unnamed 2",0,0,0,-67.4402,63.5435
"Unnamed 7",5669,5669,5669,-67.4475,63.3336
"Vestfold North",45497,45497,61739,-68.4842,78.0954
"Vestfold South",101297,101297,132049,-68.5883,77.9227
"Vieugue Island",360,360,600,-65.6682,-65.2144
"Vortex Island",2665,2665,4319,-63.7257,-57.6415
"Cape Waites",546,546,546,-72.713,-103.451
"Watt Bay",2797,2797,2797,-66.9949,144.2854
