"colony_name","colony_size","colony_size_min","colony_size_max","latitude","longitude"
"Acuna Island",3079,1880,3079,-44.637,-60.7612
"Adams Island",425,76,425,92.5486,-66.5459
"Cape Adare",428516,169200,428516,170.1999,-71.3063
"Akarui Point",106,106,211,41.3901,-68.4999
"Alasheyev Bight",1080,1080,1080,46.109,-67.654
"Ambush Bay",17621,17621,17621,-55.393,-63.184
"Amphibolite Point",7660,5000,7660,-45.339,-60.684
"Anchorage Island",0,0,250,-68.2089,-67.6042
"Andresen Island Site 2",281,272,319,-66.711,-66.875
"Andresen Island Site 1",1139,1139,2200,-66.649,-66.879
"Andersen Island",5000,5000,5000,63.3572,-67.4353
"Cape Anne",522,139,557,169.85,-73.617
"Ardley Island",260,260,1331,-58.933,-62.213
"Armstrong Reef",3126,3126,10696,-66.2117,-65.8919
"Arthurson Ridge",14461,14461,14461,158.5109,-69.3634
"Auster Islands",2082,2082,2082,63.98,-67.39
"Avian Island",77515,35600,77515,-68.8855,-67.7732
"Backer Islands",465,465,465,-102.5515,-74.4112
"Balaena Islands",160,160,160,111.0688,-66.0158
"Barcroft Islands",211,211,1600,-67.1397,-66.4575
"Cape Batterbee",30746,30746,30746,53.8129,-65.842
"Beagle Island",284535,96892,284535,-54.6675,-63.4139
"Beaufort Island North",989,460,989,166.881,-76.9288
"Beaufort Island",70468,21147,70468,166.8978,-76.9694
"Bechervaise Island",2207,1485,2207,62.8167,-67.5833
"Benten",23,2,27,39.25,-69.0417
"Berkley/Cameron",13423,2928,13423,110.64,-66.2163
"Berthelot Islands (excl. Green Island)",313,313,904,-64.112,-65.333
"Cape Bienvenue",35466,10000,35466,140.5252,-66.7203
"Biscoe Point",522,522,3000,-63.7775,-64.8114
"Bolingen/Lichen Island",465,465,465,75.7474,-69.456
"Bongrain Point (Pourquoi Pas Island)",2284,700,2859,-67.7319,-67.7233
"Cape Bowles",395,60,395,-54.091,-61.316
"Brash Island",94951,94951,166078,-54.914167,-63.386389
"Brattstrand Bluff",5259,5259,5259,76.9995,-69.2157
"Cape Bird Middle",4343,1438,4912,166.4187,-77.230393
"Cape Bird North",45572,14928,50701,166.44589,-77.214483
"Cape Bird South",16764,5684,20083,166.379444,-77.259444
"Brown Bluff",18630,18630,25000,-56.905,-63.5222
"Brownson Islands",15962,15962,15962,-103.636074,-74.168119
"Buckle Island",277,277,900,163.2871,-66.8908
"Cape Burks",1209,97,1209,-136.829586,-74.750466
"Cape Barne",0,0,5,166.24162,-77.578012
"Casey Bay",95,95,95,48.6565,-67.3774
"Cape Davis",559,502,559,163.5333,-66.65
"Cape Hallett",47169,24848,66319,170.2142,-72.3179
"Chappel Island",4597,2618,5780,110.4193,-66.1772
"Charcot Island",28,28,28,-75.4074,-69.7617
"Chatos Island",135,100,135,-69.152,-67.66
"Child Rocks Islands 1",500,500,500,63.2749,-67.4377
"Child Rocks Islands 2",5000,5000,5000,63.2824,-67.438
"Child Rocks Islands 3",500,500,500,63.2715,-67.4387
"Chick Islands",475,475,475,120.9934,-66.7918
"Chinstrap Islet",3092,1999,3092,163.311,-66.925
"Christine Island",1151,1151,1460,-64.0236,-64.7946
"Christoffersen Island",420,420,420,-45.035,-60.728
"Cape Hunter",7709,7709,15997,142.349,-66.963
"Clark Island",322,322,322,-105.193,-74.056
"Coulman Middle",9278,2668,9278,169.8854,-73.4372
"Coulman North",2751,501,2751,169.8401,-73.3822
"Cockburn Island",15721,15721,15721,-56.8412,-64.2005
"Colbeck Archipelago Unnamed 1",958,958,958,61.0647,-67.3436
"Cone Island",3051,3000,3051,-69.1531,-67.6749
"Conical Island (Aviation Islands)",128,128,128,158.7833,-69.2667
"Cormorant Island",693,623,905,-63.9667,-64.7939
"Cape Cornish (NE Buckle)",401,401,533,163.2139,-66.7031
"Cormorant Point",96,96,122,-44.732,-60.756
"Cape Cotter",49198,21280,58776,170.3122,-72.4045
"Cape Crozier",280787,67114,282515,169.32,-77.46
"Cruzen Island",226,226,226,-140.3266,-74.7341
