"common_name","site_id","site_name","cammlr_region","penguin_count_recent","year_recent","penguin_count_recent_prop","IBA_recent","penguin_count_min","year_min","penguin_count_min_prop","IBA_min","count_median","year_nb","count_median_prop","IBA_median","penguin_count_max","year_max","penguin_count_max_prop","IBA_max","bearing","Permissions","coords.x1","coords.x2","auto_bearing_n_cells","auto_bearing_sum_dist","auto_bearing_n_cells_kappa","auto_bearing_sum_dist_kappa"
"ADP","ACUN","Acuna Island","48.2",3079,2011,0.08,"0",1880,2004,0.05,"0",1964,4,0.05,"0",3079,2011,0.08,"0",190,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2279886.27695427,2308959.50574883,137.71903996101,183.755210667412,0.0615724495560747,0.0932715217467243
"ADP","ADAM","Adams Island","58.4.1",425,2011,0.01,"0",76,2009,0,"0",250,2,0.01,"0",425,2011,0.01,"0",0.1,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2580544.0290554,-114862.134820036,357.126134372266,2.44557272791617,1.18823502799278,0.990832102435779
"ADP","ADAR","Cape Adare","88.1",428516,2013,11.31,"1",169200,1990,4.46,"1",289875,8,7.65,"1",428516,2013,11.31,"1",315,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",348694.616718253,-2018705.51100706,25.0575132597085,7.32967638365754,0.501942932007625,0.344639489732748
"ADP","AKAR","Akarui Point","58.4.2",106,2011,0,"0",106,2011,0,"0",187,3,0,"0",211,1981,0.01,"0",350,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",1562197.62096326,1772582.71170968,327.347719762886,328.18810724102,1.27008112835413,1.10082540722449
"ADP","ALAS","Alasheyev Bight","58.4.2",1080,2009,0.03,"0",1080,2009,0.03,"0",1080,1,0.03,"0",1080,2009,0.03,"0",358,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",1771350.08778864,1704072.44507455,326.259869254898,328.27970895386,1.69901324872603,1.35568342323358
"ADP","AMBU","Ambush Bay","48.1",17621,2011,0.46,"0",17621,2011,0.46,"0",17621,1,0.46,"0",17621,2011,0.46,"0",0.1,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2441095.04856047,1684438.87867217,39.5735206704728,26.8636322932332,0.861291368446138,0.854092240086764
"ADP","AMPH","Amphibolite Point","48.2",7660,2011,0.2,"0",5000,1983,0.13,"0",6330,2,0.17,"0",7660,2011,0.2,"0",173,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2314361.80942712,2287135.9655385,179.320575780951,183.522564366432,0.0977486191981318,0.14745627414518
"ADP","ANCH","Anchorage Island","48.1",0,2016,0,"0",0,2016,0,"0",125,2,0,"0",250,1977,0.01,"0",175,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2287531.34869339,914535.111145896,148.625090209039,143.355162359473,0.689411009098173,0.518388451825547
"ADP","ANDI","Andresen Island Site 2","48.1",281,2013,0.01,"0",272,2009,0.01,"0",281,3,0.01,"0",319,2007,0.01,"0",350,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2338449.88172075,1006563.45118147,297.055796604264,287.278968922253,0.564938425815938,0.292334591489085
"ADP","ANDR","Andresen Island Site 1","48.1",1139,2009,0.03,"0",1139,2009,0.03,"0",1271,3,0.03,"0",2200,1984,0.06,"0",340,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2336944.25175884,1008914.11877094,292.12102042694,270.51414185807,0.671688175809922,0.459933130936389
"ADP","ANDS","Andersen Island","58.4.2",5000,2005,0.13,"0",5000,2005,0.13,"0",5000,1,0.13,"0",5000,2005,0.13,"0",0.1,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2219011.55529875,1113272.25878679,359.835293627043,351.998187823766,0.754905257594434,0.534107059728814
"ADP","ANNE","Cape Anne","88.1",522,2013,0.01,"0",139,2006,0,"0",346,9,0.01,"0",557,1986,0.01,"0",170,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",315759.771869001,-1763748.8829,140.5148642941,145.366986682583,0.358275190990228,0.352712378033774
"ADP","ARDL","Ardley Island","48.1",260,2014,0.01,"0",260,2014,0.01,"0",944,20,0.02,"0",1331,1984,0.04,"0",121,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2635936.08601813,1588028.37081117,263.081222059839,303.786160920118,0.194807793037066,0.219091594773043
"ADP","ARMS","Armstrong Reef","48.1",3126,2013,0.08,"0",3126,2013,0.08,"0",6911,2,0.18,"0",10696,1984,0.28,"0",182,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2431435.85209103,1071797.94854013,231.670738775056,232.443070987533,0.202645476111183,0.218314159246085
"ADP","ARTH","Arthurson Ridge","88.1",14461,2012,0.38,"0",14461,2012,0.38,"0",14461,1,0.38,"0",14461,2012,0.38,"0",10,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",830015.839848432,-2108294.07855339,22.0971270710377,19.5328526863842,1.60059645108428,1.49057901805749
"ADP","AUST","Auster Islands","58.4.2",2082,2006,0.05,"0",2082,2006,0.05,"0",2082,1,0.05,"0",2082,2006,0.05,"0",5,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2235573.92476971,1091328.4193371,7.138534166466,6.07187467064305,0.588688198408821,0.386614672601425
"ADP","AVIA","Avian Island","48.1",77515,2013,2.05,"1",35600,1978,0.94,"0",56558,2,1.49,"1",77515,2013,2.05,"1",230,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2280401.88211469,880596.95343019,191.336055034122,192.699355015067,0.464465045281973,0.457432831178263
"ADP","BACK","Backer Islands","88.3",465,2011,0.01,"0",465,2011,0.01,"0",465,1,0.01,"0",465,2011,0.01,"0",285,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-1663144.63349672,-370278.982524515,282.812338785693,288.641015782618,0.216442442977796,0.102491985117165
"ADP","BALA","Balaena Islands","58.4.1",160,2011,0,"0",160,2011,0,"0",160,1,0,"0",160,2011,0,"0",340,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2466440.93642268,-950177.614399954,325.397600181564,324.348600631276,1.05751724375855,1.04685921929278
"ADP","BARC","Barcroft Islands","48.1",211,2013,0.01,"0",211,2013,0.01,"0",906,2,0.02,"0",1600,1983,0.04,"0",139,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2389427.32953081,1007383.14517923,294.209555477536,209.717709578025,0.0492694082608635,0.035800191526399
"ADP","BATT","Cape Batterbee","58.4.2",30746,2011,0.81,"0",30746,2011,0.81,"0",30746,1,0.81,"0",30746,2011,0.81,"0",359,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2149163.96032876,1572207.28676263,2.09367753982746,3.25321362198523,1.14874424180438,1.0143319472793
"ADP","BEAG","Beagle Island","48.1",284535,2015,7.51,"1",96892,2011,2.56,"1",190714,2,5.03,"1",284535,2015,7.51,"1",135,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2398089.61945854,1699985.12221953,96.6783339013064,113.84791047638,0.0715223594104792,0.0461736508630352
"ADP","BEAN","Beaufort Island North","88.1",989,2013,0.03,"0",460,2004,0.01,"0",544,5,0.01,"0",989,2013,0.03,"0",60,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",323701.797172129,-1388938.99081404,342.523473511684,354.835833000019,0.151424702386914,0.0748361159282969
"ADP","BEAU","Beaufort Island","88.1",70468,2013,1.86,"1",21147,1996,0.56,"0",42561,19,1.12,"1",70468,2013,1.86,"1",70,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",322281.976011994,-1384683.43174643,352.09037079647,351.511492384546,0.171433590911871,0.107195305883462
"ADP","BECH","Bechervaise Island","58.4.2",2207,2001,0.06,"0",1485,1992,0.04,"0",1832,12,0.05,"0",2207,2001,0.06,"0",357,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2193563.22544982,1126530.26182929,355.980720989368,348.197057657016,1.30319958245617,0.997972637678771
"ADP","BENT","Benten","58.4.2",23,2004,0,"0",2,1991,0,"0",10,16,0,"0",27,2003,0,"0",323,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",1456411.62949949,1782558.80221928,292.733525580273,284.576532195572,0.49601131672097,0.355171846678995
"ADP","BERK","Berkley/Cameron","58.4.1",13423,2011,0.35,"0",2928,1980,0.08,"0",6488,3,0.17,"0",13423,2011,0.35,"0",325,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2452220.21909396,-923683.340404315,316.11222353319,309.242681669972,1.20481152938574,1.10669916864271
"ADP","BERT","Berthelot Islands (excl. Green Island)","48.1",313,2013,0.01,"0",313,2013,0.01,"0",374,4,0.01,"0",904,1982,0.02,"0",265,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2447617.57712427,1187865.80627177,268.103350585899,251.746566040673,0.878863925932307,0.693089209153514
"ADP","BIEN","Cape Bienvenue","58.4.1",35466,2011,0.94,"0",10000,1984,0.26,"0",15023,3,0.4,"0",35466,2011,0.94,"0",2,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",1629634.74527974,-1978677.49745608,13.1828234178376,14.6403251347141,1.4062165763912,1.21198541813463
"ADP","BISC","Biscoe Point","48.1",522,2012,0.01,"0",522,2012,0.01,"0",1025,11,0.03,"0",3000,1987,0.08,"0",250,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2493868.38165375,1228352.07242003,219.477623433274,212.959709004194,0.804844014292544,0.841333160486486
"ADP","BOLI","Bolingen/Lichen Island","58.4.2",465,1981,0.01,"0",465,1981,0.01,"0",465,1,0.01,"0",465,1981,0.01,"0",352,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2185993.3745319,555277.189167844,336.430241912706,329.232075711344,1.07993583992444,0.806239150266415
"ADP","BONG","Bongrain Point (Pourquoi Pas Island)","48.1",2284,2013,0.06,"0",700,1984,0.02,"0",2272,4,0.06,"0",2859,2008,0.08,"0",232,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2267414.65022307,928460.105622627,229.781293234045,246.195024832967,0.405781245568687,0.383179583165864
"ADP","BOWL","Cape Bowles","48.1",395,2006,0.01,"0",60,1976,0,"0",228,2,0.01,"0",395,2006,0.01,"0",180,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2576225.50092241,1865493.04367566,154.830928786409,165.320567724471,0.172722152688981,0.222376469121852
"ADP","BRAS","Brash Island","48.1",94951,2015,2.51,"1",94951,2015,2.51,"1",130514,2,3.44,"1",166078,2000,4.38,"1",190,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2407963.41126422,1691455.69774122,115.284499335977,118.980072175325,0.171685766481567,0.159351790929555
"ADP","BRAT","Brattstrand Bluff","58.4.2",5259,1981,0.14,"0",5259,1981,0.14,"0",5259,1,0.14,"0",5259,1981,0.14,"0",345,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2223857.15327791,513438.319540395,323.297011763124,325.709468933678,1.43768686760614,1.17261553199052
"ADP","BRDM","Cape Bird Middle","88.1",4343,2013,0.11,"0",1438,1993,0.04,"0",2640,30,0.07,"0",4912,2012,0.13,"0",58,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",327108.367135698,-1354037.39653992,334.525145823069,319.179321687791,0.46868618180044,0.473955894398448
"ADP","BRDN","Cape Bird North","88.1",45572,2013,1.2,"1",14928,1993,0.39,"0",31155,31,0.82,"0",50701,2012,1.34,"1",60,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",326875.775734045,-1355893.2148622,334.638527159769,322.426553021601,0.447754293716181,0.458633158039252
"ADP","BRDS","Cape Bird South","88.1",16764,2013,0.44,"0",5684,2003,0.15,"0",11664,31,0.31,"0",20083,2012,0.53,"0",56,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",327283.772548118,-1350708.48236984,322.880768472647,299.033268875361,0.474708872094858,0.519562078718994
"ADP","BROW","Brown Bluff","48.1",18630,2013,0.49,"0",18630,2013,0.49,"0",21815,2,0.58,"0",25000,2006,0.66,"0",10,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2452247.11406617,1598294.85894406,50.9511462953814,40.8615779880524,1.20823867967444,1.15636002220968
"ADP","BSON","Brownson Islands","88.3",15962,2011,0.42,"0",15962,2011,0.42,"0",15962,1,0.42,"0",15962,2011,0.42,"0",326,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-1681973.87602149,-408033.444255609,283.711681816488,241.196058822602,0.0545178008222647,0.0300798826704181
"ADP","BUCK","Buckle Island","88.1",277,2010,0.01,"0",277,2010,0.01,"0",588,2,0.02,"0",900,1978,0.02,"0",170,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",731621.607928962,-2436628.51523885,129.667777780155,152.027591412419,0.0546756474621811,0.114921521654839
"ADP","BURK","Cape Burks","88.2",1209,2011,0.03,"0",97,1990,0,"0",653,2,0.02,"0",1209,2011,0.03,"0",358,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-1140070.75251062,-1215309.01969997,318.037127449501,318.704681113318,0.748422530122843,0.603687814230985
"ADP","CBAR","Cape Barne","88.1",0,2011,0,"0",0,2011,0,"0",4,3,0,"0",5,1988,0,"0",270,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",322203.915298006,-1315905.06743578,306.229583122859,280.963281702223,0.919062814076101,0.867428925364112
"ADP","CBAY","Casey Bay","58.4.2",95,2011,0,"0",95,2011,0,"0",95,1,0,"0",95,2011,0,"0",340,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",1868760.69120666,1644261.88523003,297.747966965713,287.368008135249,1.04273514971019,0.647421091414682
"ADP","CDAV","Cape Davis","88.1",559,2005,0.01,"0",502,1984,0.01,"0",530,2,0.01,"0",559,2005,0.01,"0",2,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",728861.951993157,-2465858.53633362,120.976973042861,64.7060303662786,0.0125438418181876,0.0491916577325981
"ADP","CHAL","Cape Hallett","88.1",47169,2013,1.24,"1",24848,2006,0.66,"0",47505,17,1.25,"1",66319,1987,1.75,"1",70,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",329049.663688604,-1907813.29246824,93.3785353113032,84.9902804555672,1.09867859465062,0.818480206955547
"ADP","CHAP","Chappel Island","58.4.1",4597,2011,0.12,"0",2618,1980,0.07,"0",4597,3,0.12,"0",5780,1989,0.15,"0",333,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2459911.27497213,-915776.14213803,319.031626467112,312.16793915459,0.850739720342079,0.631607779782663
"ADP","CHAR","Charcot Island","88.3",28,2011,0,"0",28,2011,0,"0",28,1,0,"0",28,2011,0,"0",330,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2149517.63224455,559610.958516186,327.676150347633,318.940413811467,0.663987386463337,0.609466073020649
"ADP","CHAT","Chatos Island","48.1",135,2013,0,"0",100,1983,0,"0",118,2,0,"0",135,2013,0,"0",260,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2296395.59270031,874520.981807072,232.856896180424,241.880925238164,0.544601829127496,0.547761860501426
"ADP","CHI1","Child Rocks Islands 1","58.4.2",500,2005,0.01,"0",500,2005,0.01,"0",500,1,0.01,"0",500,2005,0.01,"0",0.1,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2217168.34231292,1116336.75842558,357.594355155574,353.728417483684,0.77037650074077,0.557889754489742
"ADP","CHI2","Child Rocks Islands 2","58.4.2",5000,2005,0.13,"0",5000,2005,0.13,"0",5000,1,0.13,"0",5000,2005,0.13,"0",0.1,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2217284.22292572,1116031.30720139,357.389299232772,353.831232736039,0.772264247203183,0.559100563592461
"ADP","CHI3","Child Rocks Islands 3","58.4.2",500,2005,0.01,"0",500,2005,0.01,"0",500,1,0.01,"0",500,2005,0.01,"0",0.1,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2217001.34164933,1116417.59009068,357.480246131536,353.538428397817,0.77315841350657,0.559851452988711
"ADP","CHIC","Chick Islands","58.4.1",475,2011,0.01,"0",475,2011,0.01,"0",475,1,0.01,"0",475,2011,0.01,"0",350,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2190460.27067962,-1315817.91803377,341.578523538671,333.833845617925,1.36737008790329,1.26235314849787
"ADP","CHII","Chinstrap Islet","88.1",3092,2005,0.08,"0",1999,1984,0.05,"0",2546,2,0.07,"0",3092,2005,0.08,"0",135,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",729495.235920413,-2433231.38728685,168.323962579732,159.702259338963,0.0299787149504715,0.0664520351496513
"ADP","CHIS","Christine Island","48.1",1151,1987,0.03,"0",1151,1987,0.03,"0",1425,5,0.04,"0",1460,1979,0.04,"0",225,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2500841.16340722,1218466.8583801,231.213518161674,223.391757559116,0.640905885874531,0.53421717347991
"ADP","CHRI","Christoffersen Island","48.2",420,1983,0.01,"0",420,1983,0.01,"0",420,1,0.01,"0",420,1983,0.01,"0",176,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2298589.54147093,2295782.99864575,132.417215407722,141.197526830852,0.0630518049229434,0.0860626617174152
"ADP","CHUN","Cape Hunter","58.4.1",7709,2010,0.2,"0",7709,2010,0.2,"0",11853,2,0.31,"0",15997,1997,0.42,"0",8,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",1549078.19862577,-2007819.4539955,16.3257766553234,22.51937377033,1.63307576428417,1.46025554906194
"ADP","CLAR","Clark Island","88.2",322,2012,0.01,"0",322,2012,0.01,"0",322,1,0.01,"0",322,2012,0.01,"0",330,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-1682242.61917627,-456834.515118165,326.327179764217,124.408543116699,0.056020508060848,0.00138060741429852
"ADP","CMID","Coulman Middle","88.1",9278,2013,0.24,"0",2668,1998,0.07,"0",4404,14,0.12,"0",9278,2013,0.24,"0",55,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",318169.82123086,-1783562.64536098,107.465058491677,93.2502555216725,0.56072656878621,0.551593245565276
"ADP","CNOR","Coulman North","88.1",2751,2013,0.07,"0",501,2010,0.01,"0",1874,11,0.05,"0",2751,2013,0.07,"0",70,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",320655.503128296,-1789312.76530121,112.541376965606,94.9064627752074,0.481366871569811,0.393123497482586
"ADP","COCK","Cockburn Island","48.1",15721,2011,0.41,"0",15721,2011,0.41,"0",15721,1,0.41,"0",15721,2011,0.41,"0",80,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2385572.73448333,1558626.23551543,66.2326050090354,42.6096405932427,0.349901116203838,0.218151777101484
"ADP","COLB","Colbeck Archipelago Unnamed 1","58.4.2",958,2011,0.03,"0",958,2011,0.03,"0",958,1,0.03,"0",958,2011,0.03,"0",2,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2181757.98422911,1206149.5162921,10.8885260462907,9.40369736678215,0.783669576210084,0.572211691424888
"ADP","CONE","Cone Island","48.1",3051,2013,0.08,"0",3000,1983,0.08,"0",3026,2,0.08,"0",3051,2013,0.08,"0",260,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2294842.81446534,873879.20065523,233.428069129594,238.309435035562,0.521382084657646,0.533424065551111
"ADP","CONI","Conical Island (Aviation Islands)","88.1",128,1985,0,"0",128,1985,0,"0",128,1,0,"0",128,1985,0,"0",358,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",823907.047646441,-2122324.2064428,24.001813692103,22.4097458499675,0.898702025759349,0.671613904391715
"ADP","CORM","Cormorant Island","48.1",693,1986,0.02,"0",623,1983,0.02,"0",795,7,0.02,"0",905,1984,0.02,"0",190,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2499701.50282463,1220984.80752684,225.235952446734,216.950176665709,0.767079338645735,0.789815904631639
"ADP","CORN","Cape Cornish (NE Buckle)","88.1",401,2005,0.01,"0",401,2005,0.01,"0",467,2,0.01,"0",533,1984,0.01,"0",5,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",740862.282918495,-2456007.48330983,43.2675328235134,8.86896681858993,0.0135556908063839,0.0676226800367713
"ADP","CORP","Cormorant Point","48.2",96,2004,0,"0",96,2004,0,"0",109,2,0,"0",122,1993,0,"0",120,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2284135.1923444,2305603.77211936,169.156252458604,205.004816900113,0.0448579790629732,0.0696950028851749
"ADP","COTT","Cape Cotter","88.1",49198,2013,1.3,"1",21280,2006,0.56,"0",40988,10,1.08,"1",58776,1987,1.55,"1",80,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",324166.02324791,-1898883.79657878,93.7599290875343,84.8620214065869,1.03790452578653,0.861600772611685
