"common_name","site_id","site_name","cammlr_region","penguin_count_recent","year_recent","penguin_count_recent_prop","IBA_recent","penguin_count_min","year_min","penguin_count_min_prop","IBA_min","count_median","year_nb","count_median_prop","IBA_median","penguin_count_max","year_max","penguin_count_max_prop","IBA_max","bearing","Permissions","coords.x1","coords.x2","auto_bearing_n_cells","auto_bearing_sum_dist","auto_bearing_n_cells_kappa","auto_bearing_sum_dist_kappa"
"CHP","SABR","Sabrina Island, Balleny Islands","88.1",84,2014,0,"0",4,1965,0.000117302,"0",24,4,0.000703812,"0",84,2014,0.002463343,"0",130,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",729836.571927733,-2434061.03749427,168.495441176122,157.935210192812,0.058034601525532,0.0994115436137325
"CHP","CHPT","Charles Point","48.1",10,2011,0,"0",7,2010,0.000205279,"0",10,5,0.000293255,"0",13,1998,0.000381232,"0",301,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2488781.07525041,1379553.87709566,291.292183034451,279.837263510427,1.28578402983075,1.01953175373643
"CHP","DREA","Dream Island","48.1",250,1985,0.01,"0",46,1978,0.001348974,"0",109,4,0.003196481,"0",250,1985,0.007331378,"0",180,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2512218.26575577,1213069.27537395,252.61157496529,239.928804566087,0.610780599490649,0.51810117425685
"CHP","GOUR","Gourdin Island","48.1",4792,2015,0.14,"0",4792,2015,0.140527859,"0",4792,2,0.140527859,"0",4792,2015,0.140527859,"0",0.1,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2494759.57571664,1601152.21308742,5.16818051783509,5.46591481968271,0.697442472968159,0.684364631248439
"CHP","PAND","Pandemonium Point","48.2",14543,2009,0.43,"0",2385,2009,0.069941349,"0",8464,2,0.248211144,"0",14543,2009,0.426480938,"0",179,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2322357.51643956,2270412.29876856,192.138329826062,185.595324335729,0.118940668804089,0.243344368001877
"CHP","PENG","Penguin Island","48.1",2252,2018,0.07,"0",1545,2013,0.045307918,"0",3017,10,0.088475073,"0",8794,1980,0.257888563,"0",170,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2618468.92244303,1640849.85291056,137.13801055765,147.776877850874,0.661668999460332,0.611476804704328
"CHP","SADD","Saddle Island","48.2",30000,1903,0.88,"0",30000,1903,0.879765396,"0",30000,1,0.879765396,"0",30000,1903,0.879765396,"0",10,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2300432.13115702,2312105.23083398,103.812007153428,57.1891893299804,0.0409572719545567,0.0460776312532897
"CHP","SPTR","Spigot Peak Tripod","48.1",54,2019,0,"0",13,2009,0.000381232,"0",80,12,0.002346041,"0",162,2015,0.004750733,"0",323,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2485006.0411631,1290185.43859051,337.562271846578,332.020551248112,0.338422389028927,0.233535150010446
"CHP","STRA","Stranger Point","48.1",265,1988,0.01,"0",175,1987,0.005131965,"0",308,7,0.009017595,"0",500,1985,0.014662757,"0",162,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2622497.03221151,1599767.71354164,176.306501938915,166.528477499006,0.522153389500283,0.571405921206102
"CHP","BAIS","Bath Island","48.1",279,2018,0.01,"0",279,2018,0.008181818,"0",279,1,0.008181818,"0",279,2018,0.008181818,"0",0.1,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2642669.97802099,1538749.94971269,353.947268291787,329.475404263899,0.231817938666676,0.214052363547738
"CHP","CRIS","Cricklewood Island","48.1",2674,2018,0.08,"0",2674,2018,0.078416422,"0",2674,1,0.078416422,"0",2674,2018,0.078416422,"0",0.1,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2641869.71680109,1539210.25515618,351.121497516483,329.55062547654,0.238441725297718,0.216320671852192
"CHP","DPOS","Decimal Point South","48.1",47,2020,0,"0",47,2020,0.001378299,"0",47,1,0.001378299,"0",47,2020,0.001378299,"0",0.1,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2616094.26574543,1851681.11340071,77.6205883161015,64.7195859896767,0.170575582139203,0.18609282818941
"CHP","EIN6","Elephant Island north coast Point 6","48.1",61,2020,0,"0",61,2020,0.001788856,"0",61,1,0.001788856,"0",61,2020,0.001788856,"0",67,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2628050.58094676,1836287.1980533,24.1536533972697,20.8619560063463,0.326407958767655,0.500347638705405
"CHP","HRSO","Hydrurga Rocks South","48.1",347,2020,0.01,"0",347,2020,0.010175953,"0",347,1,0.010175953,"0",347,2020,0.010175953,"0",90,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2512341.11882851,1356944.76986934,33.6475768896291,101.927219610535,0.110736061690656,0.0901444802636289
"CHP","LARK","Lafarge Rocks","48.1",3000,2013,0.09,"0",3000,2013,0.08797654,"0",3000,1,0.08797654,"0",3000,2013,0.08797654,"0",345,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2500319.07385216,1589874.41172887,343.834281963065,335.970501320438,0.755816312565835,0.669796630050242
