"common_name","site_id","site_name","cammlr_region","penguin_count_recent","year_recent","penguin_count_recent_prop","IBA_recent","penguin_count_min","year_min","penguin_count_min_prop","IBA_min","count_median","year_nb","count_median_prop","IBA_median","penguin_count_max","year_max","penguin_count_max_prop","IBA_max","bearing","Permissions","coords.x1","coords.x2","auto_bearing_n_cells","auto_bearing_sum_dist","auto_bearing_n_cells_kappa","auto_bearing_sum_dist_kappa"
"GEP","AITC","Barrientos Island (Aitcho Islands)","48.1",1943,2018,0.5,"0",1177,1999,0.3,"0",1828,13,0.47,"0",2213,2011,0.57,"0",100,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2639075.82863964,1538958.60241719,343.911055501941,317.145801104257,0.222948076448633,0.289414409726939
"GEP","ALMI","Brown Station","48.1",165,2019,0.04,"0",8,1995,0,"0",173,14,0.04,"0",204,2014,0.05,"0",340,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2465580.12258944,1263315.45927381,319.575022569765,318.940293361833,0.960617181824931,0.836259101458633
"GEP","ARDL","Ardley Island","48.1",4635,2005,1.2,"1",1656,1983,0.43,"0",3522,19,0.91,"0",5131,2002,1.33,"1",121,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2635936.08601813,1588028.37081117,282.944744083619,333.839031644736,0.264778078313086,0.282870437681953
"GEP","BARN","Barnard Point (Livingston Island)","48.1",600,1987,0.16,"0",264,1965,0.07,"0",432,2,0.11,"0",600,1987,0.16,"0",170,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2619660.42971956,1491926.11228262,206.002001335705,213.029238142871,0.565059916095932,0.461473060330644
"GEP","BART","Barton Peninsula","48.1",2378,2013,0.61,"0",425,1986,0.11,"0",1507,16,0.39,"0",2496,2012,0.64,"0",165,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2630909.97109494,1593900.60550145,190.877899217836,201.276267667229,0.564066441294372,0.564001624341869
"GEP","BENE","Beneden Head","48.1",1311,2015,0.34,"0",640,2006,0.17,"0",897,6,0.23,"0",1311,2015,0.34,"0",280,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2474833.47804387,1277302.10799243,312.190605707485,319.044138908093,0.479095320738822,0.291540752186148
"GEP","BISC","Biscoe Point","48.1",3197,2012,0.83,"0",0,1984,0,"0",468,18,0.12,"0",3197,2012,0.83,"0",250,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2493868.38165375,1228352.07242003,212.408281669252,210.676755467626,0.980841662369636,0.799020482449485
"GEP","BRAS","Brash Island","48.1",2270,2015,0.59,"0",2270,2015,0.59,"0",2270,1,0.59,"0",2270,2015,0.59,"0",190,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2407963.41126422,1691455.69774122,118.351041825771,119.09683125729,0.138673017712202,0.102205098629656
"GEP","BRIT","Brittannia's Figleaf","48.1",396,2016,0.1,"0",396,2016,0.1,"0",398,2,0.1,"0",400,1970,0.1,"0",180,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2615864.68296522,1817193.2338054,172.152928782942,163.63152479756,0.519593648848373,0.435684972321436
"GEP","BROW","Brown Bluff","48.1",793,2018,0.2,"0",230,2013,0.06,"0",538,17,0.14,"0",806,2015,0.21,"0",10,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2452247.11406617,1598294.85894406,36.5837402957167,36.6470061574604,1.31129861210185,0.89977829331429
"GEP","BRYE","Bryde Island East","48.1",531,2019,0.14,"0",173,1986,0.04,"0",556,13,0.14,"0",626,2015,0.16,"0",340,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2467425.78029415,1261166.63111562,327.300742714393,320.047519792929,0.648828322630686,0.405869873170252
"GEP","BRYS","Bryde Island South","48.1",608,2019,0.16,"0",608,2019,0.16,"0",818,11,0.21,"0",979,2008,0.25,"0",270,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2466790.69901691,1259560.18408042,330.29931490293,329.898877209258,0.89545638645747,0.829838721465095
"GEP","CHPT","Charles Point","48.1",795,2011,0.21,"0",130,1987,0.03,"0",568,4,0.15,"0",795,2011,0.21,"0",309,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2488781.07525041,1379553.87709566,279.974650954517,265.975369560766,1.1598138944903,0.845593730130149
"GEP","CHRI","Christoffersen Island","48.2",324,1983,0.08,"0",324,1983,0.08,"0",324,1,0.08,"0",324,1983,0.08,"0",176,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2298589.54147093,2295782.99864575,159.381577930471,155.826325294125,0.0589943622463644,0.0860404940049125
"GEP","CIER","Cierva Point","48.1",3303,2015,0.85,"0",593,1998,0.15,"0",1025,9,0.26,"0",3303,2015,0.85,"0",315,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2495700.17478366,1385667.75107791,293.379187241297,297.482727153514,1.08998865415072,0.855728638042607
"GEP","CONW","Cape Conway","48.1",400,1987,0.1,"0",400,1987,0.1,"0",400,1,0.1,"0",400,1987,0.1,"0",180,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2639010.92199538,1437497.322581,187.317033712625,170.274861835191,0.229090640589774,0.27590782629478
"GEP","CUVE","Cuverville Island","48.1",6903,2018,1.78,"1",990,2010,0.26,"0",6142,16,1.59,"1",9648,2015,2.49,"1",350,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2481564.66650362,1284892.61427777,329.784548918257,323.790034856742,0.334327660813872,0.412296413722381
"GEP","DAMO","Dorian Bay/Damoy Point","48.1",1519,2019,0.39,"0",619,1983,0.16,"0",2048,20,0.53,"0",2560,2014,0.66,"0",245,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2487463.96890232,1240377.25139363,147.824060699301,119.731306540511,0.490401588596519,0.332679975325172
"GEP","DANC","Danco Island","48.1",2623,2018,0.68,"0",1573,1992,0.41,"0",2623,15,0.68,"0",3632,2009,0.94,"0",350,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2475785.99070559,1283665.47210953,312.651792725598,296.842766213357,0.601577920583313,0.564532495563897
